slang,normal
mutz,imut
muuph,maaf
mw,mau
mw,mau
mzug,masuk
mzugg,masuk
mzuk,masuk
n,dan
naggh,anak
nal,kenal
nambah,tambah
nan,dan
nanya,tanya
naq,anak
nara sumber,narasumber
nasehat,nasihat
nax,anak
nc,ini
nda,tidak
ndak,tidak
ngak,tidak
ngalir,mengalir
ngantre,mengantri
ngeliat,melihat
ngga,tidak
nginep,menginap
ngirimin,mengirim
nguntungin,menguntungkan
nich,nih
niech,nih
nmr,nomor
no,tidak
nopember,november
ntah,entah
nulis,menulis
nulis,menulis
nulisssss,menulis
ny,nya
nyumbang,menyumbang
obyek,objek 
obyektif,objektif 
on,ons
org,orang
org,orang
orgorg,orang-orang
pa,apa
pa,apa 
pake,pakai
paling,sangat
pd,kepada 
pdhal,padahal
pebgaduan,pengaduan
pebruari,februari
pebruari,februari
pemenang,pemenang
pemsanan ,pemesanan
penasehat,penasihat
penjelasanya,penjelasannya
perletakan,peletakan
pertanggung-jawab,pertanggungjawaban
peswat,pesawat
phiologi,fiologi 
phiologi,fiologi 
phisik,fisik
phisik,fisik
photo,foto
photo,foto
photo,foto
pke,pakai
plg,paling
p'ling,sangat
plmbang,palembang
pmbaca,pembaca
pmbca,pembaca
pmbcr,pembicara
pmblian,pembelian
pngen,ingin
pny,milik
pny,punya
pnya,punya
ppa,apa
prhatikan,perhatikan
prjalanan,perjalanan
prjlanan,perjalanan
prlu,perlu
prmo,promo
prmonya,promonya
problimatik,problematic
produktifitas,produktivitas
prosentase,persentase
prtm,pertama
psikotest,psikotes
punya,milik
pzt,pasti
q,saya
qamue,kamu
qmu,kamu
rata2,rata-rata
refouds,refounds
refoudsnya,refounds
rejeki,rezeki
resiko,risiko
ru,baru
rubuh,roboh
sa’at,saat
say,saya
sbg,sebagai
sblm,sebelum
sblum,sebelum
sblum,sebelum
sbnarnya,sebenarnya
sdh,sudah
sdh,sudah
sdh,sudah
sdh,sudah
sdng,sedang
sebernanya,sebenarnya
sekertaris,sekretaris
seksama,saksama
selese,selesai
sering2,sering
setasiun,stasiun
silahkan,silakan
sintesa,sintesis
sistim,sistem
sistimatis,sistematis
skedar,sekedar
skitar,sekitar
skrg,sekarang
skrng,sekarang
slmt,selamat
smbl,sambil
smlm,semalam
smp,sampai
sndiri,sendiri
sndirinya,sendirinya
soalnya,karena
spesis,spesies
spiritual,spiritual
sprti,seperti
sprti,seperti
srg,sering
sring,sering
srng,sering
standarisasi,standardisasi
statua,status
stelah,setelah
stiap,setiap
subyek,subjek
subyektip,subjektif
suk ,masuk
sukur,syukur
survai,survei
sutra,sutera
sy,saya
sy,saya
sya,saya
t4,tempat
tapi,tetapi
tapi,tetapi
tapi,tetapi
tapsiran,tafsiran
tar,nanti
tarip,tarif
tau,tahu
td,tadi
tdk,tidak
team,tim
tehnik,teknik
telfon,telepon
telp,telepon
telpon,telepon
teman2,teman
tempat2,tempat tempat
tengkyu,terima kasih
teoritis,teoretis
terimakasih,terima kasih
terlanjur,telanjur
terlantar,telantar
terlentang,telentang
teteup,tetap 
tgl,tanggal
th,tahun
thanks,terima kasih
thks,terima kasih
thl,tanggal
thn,tahun
thx,terima kasih
tilpun,telepon
tks,terima kasih
tlfn,telepon
tlg,tolong
tlong,tolong
tlp,telepon
